ID,Question,Answer
1,Are your cashews organic?,"Yes, our cashews are certified organic."
2,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
3,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
4,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
5,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
6,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
7,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
8,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
9,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
10,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
11,Are your pistachios organic?,"Yes, our pistachios are certified organic."
12,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
13,How should I store macadamia nuts?,Store in the refrigerator for maximum freshness.
14,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
15,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
16,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
17,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
18,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
19,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
20,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
21,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
22,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
23,How should I store brazil nuts?,Keep away from direct sunlight.
24,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
25,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
26,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
27,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
28,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
29,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
30,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
31,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
32,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
33,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
34,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
35,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
36,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
37,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
38,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
39,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
40,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
41,Are your cashews organic?,"Yes, our cashews are certified organic."
42,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
43,How should I store pistachios?,Store in the refrigerator for maximum freshness.
44,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
45,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
46,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
47,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
48,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
49,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
50,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
51,Are your pistachios organic?,"Yes, our pistachios are certified organic."
52,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
53,How should I store macadamia nuts?,Keep away from direct sunlight.
54,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
55,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
56,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
57,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
58,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
59,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
60,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
61,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
62,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
63,How should I store brazil nuts?,"Keep them in an airtight container in a cool, dry place."
64,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
65,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
66,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
67,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
68,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
69,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
70,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
71,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
72,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
73,How should I store cashews?,Store in the refrigerator for maximum freshness.
74,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
75,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
76,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
77,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
78,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
79,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
80,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
81,Are your cashews organic?,"Yes, our cashews are certified organic."
82,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
83,How should I store pistachios?,Keep away from direct sunlight.
84,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
85,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
86,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
87,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
88,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
89,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
90,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
91,Are your pistachios organic?,"Yes, our pistachios are certified organic."
92,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
93,How should I store macadamia nuts?,"Keep them in an airtight container in a cool, dry place."
94,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
95,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
96,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
97,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
98,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
99,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
100,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
101,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
102,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
103,How should I store brazil nuts?,Store in the refrigerator for maximum freshness.
104,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
105,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
106,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
107,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
108,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
109,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
110,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
111,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
112,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
113,How should I store cashews?,Keep away from direct sunlight.
114,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
115,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
116,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
117,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
118,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
119,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
120,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
121,Are your cashews organic?,"Yes, our cashews are certified organic."
122,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
123,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
124,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
125,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
126,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
127,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
128,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
129,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
130,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
131,Are your pistachios organic?,"Yes, our pistachios are certified organic."
132,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
133,How should I store macadamia nuts?,Store in the refrigerator for maximum freshness.
134,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
135,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
136,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
137,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
138,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
139,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
140,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
141,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
142,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
143,How should I store brazil nuts?,Keep away from direct sunlight.
144,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
145,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
146,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
147,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
148,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
149,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
150,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
151,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
152,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
153,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
154,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
155,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
156,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
157,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
158,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
159,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
160,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
161,Are your cashews organic?,"Yes, our cashews are certified organic."
162,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
163,How should I store pistachios?,Store in the refrigerator for maximum freshness.
164,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
165,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
166,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
167,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
168,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
169,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
170,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
171,Are your pistachios organic?,"Yes, our pistachios are certified organic."
172,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
173,How should I store macadamia nuts?,Keep away from direct sunlight.
174,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
175,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
176,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
177,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
178,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
179,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
180,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
181,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
182,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
183,How should I store brazil nuts?,"Keep them in an airtight container in a cool, dry place."
184,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
185,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
186,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
187,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
188,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
189,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
190,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
191,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
192,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
193,How should I store cashews?,Store in the refrigerator for maximum freshness.
194,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
195,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
196,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
197,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
198,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
199,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
200,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
201,Are your cashews organic?,"Yes, our cashews are certified organic."
202,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
203,How should I store pistachios?,Keep away from direct sunlight.
204,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
205,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
206,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
207,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
208,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
209,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
210,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
211,Are your pistachios organic?,"Yes, our pistachios are certified organic."
212,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
213,How should I store macadamia nuts?,"Keep them in an airtight container in a cool, dry place."
214,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
215,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
216,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
217,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
218,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
219,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
220,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
221,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
222,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
223,How should I store brazil nuts?,Store in the refrigerator for maximum freshness.
224,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
225,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
226,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
227,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
228,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
229,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
230,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
231,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
232,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
233,How should I store cashews?,Keep away from direct sunlight.
234,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
235,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
236,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
237,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
238,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
239,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
240,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
241,Are your cashews organic?,"Yes, our cashews are certified organic."
242,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
243,How should I store pistachios?,"Keep them in an airtight container in a cool, dry place."
244,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
245,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
246,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
247,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
248,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
249,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
250,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
251,Are your pistachios organic?,"Yes, our pistachios are certified organic."
252,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
253,How should I store macadamia nuts?,Store in the refrigerator for maximum freshness.
254,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
255,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
256,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
257,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
258,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
259,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
260,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
261,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
262,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
263,How should I store brazil nuts?,Keep away from direct sunlight.
264,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
265,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
266,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
267,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
268,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
269,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
270,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
271,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
272,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
273,How should I store cashews?,"Keep them in an airtight container in a cool, dry place."
274,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
275,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
276,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
277,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
278,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
279,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
280,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
281,Are your cashews organic?,"Yes, our cashews are certified organic."
282,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
283,How should I store pistachios?,Store in the refrigerator for maximum freshness.
284,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
285,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
286,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
287,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
288,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
289,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
290,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
291,Are your pistachios organic?,"Yes, our pistachios are certified organic."
292,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
293,How should I store macadamia nuts?,Keep away from direct sunlight.
294,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
295,Are your brazil nuts salted or unsalted?,We sell both salted and unsalted brazil nuts.
296,Do you sell almonds in gift packs?,"Yes, almonds gift packs are available for special occasions."
297,Do you have roasted cashews?,"Yes, we sell both raw and roasted cashews."
298,Are your walnuts suitable for vegans?,"Yes, all our walnuts are vegan-friendly."
299,What is the shelf life of pistachios?,Our pistachios stay fresh for about 6 months when stored properly.
300,Do you sell peanuts?,"Yes, we have fresh peanuts available in various pack sizes."
301,Are your macadamia nuts organic?,"Yes, our macadamia nuts are certified organic."
302,Do you offer bulk discounts on hazelnuts?,"Yes, we provide discounts for orders over 5kg of hazelnuts."
303,How should I store brazil nuts?,"Keep them in an airtight container in a cool, dry place."
304,Do you deliver almonds?,"Yes, we offer local delivery for almonds orders."
305,Are your cashews salted or unsalted?,We sell both salted and unsalted cashews.
306,Do you sell walnuts in gift packs?,"Yes, walnuts gift packs are available for special occasions."
307,Do you have roasted pistachios?,"Yes, we sell both raw and roasted pistachios."
308,Are your peanuts suitable for vegans?,"Yes, all our peanuts are vegan-friendly."
309,What is the shelf life of macadamia nuts?,Our macadamia nuts stay fresh for about 6 months when stored properly.
310,Do you sell hazelnuts?,"Yes, we have fresh hazelnuts available in various pack sizes."
311,Are your brazil nuts organic?,"Yes, our brazil nuts are certified organic."
312,Do you offer bulk discounts on almonds?,"Yes, we provide discounts for orders over 5kg of almonds."
313,How should I store cashews?,Store in the refrigerator for maximum freshness.
314,Do you deliver walnuts?,"Yes, we offer local delivery for walnuts orders."
315,Are your pistachios salted or unsalted?,We sell both salted and unsalted pistachios.
316,Do you sell peanuts in gift packs?,"Yes, peanuts gift packs are available for special occasions."
317,Do you have roasted macadamia nuts?,"Yes, we sell both raw and roasted macadamia nuts."
318,Are your hazelnuts suitable for vegans?,"Yes, all our hazelnuts are vegan-friendly."
319,What is the shelf life of brazil nuts?,Our brazil nuts stay fresh for about 6 months when stored properly.
320,Do you sell almonds?,"Yes, we have fresh almonds available in various pack sizes."
321,Are your cashews organic?,"Yes, our cashews are certified organic."
322,Do you offer bulk discounts on walnuts?,"Yes, we provide discounts for orders over 5kg of walnuts."
323,How should I store pistachios?,Keep away from direct sunlight.
324,Do you deliver peanuts?,"Yes, we offer local delivery for peanuts orders."
325,Are your macadamia nuts salted or unsalted?,We sell both salted and unsalted macadamia nuts.
326,Do you sell hazelnuts in gift packs?,"Yes, hazelnuts gift packs are available for special occasions."
327,Do you have roasted brazil nuts?,"Yes, we sell both raw and roasted brazil nuts."
328,Are your almonds suitable for vegans?,"Yes, all our almonds are vegan-friendly."
329,What is the shelf life of cashews?,Our cashews stay fresh for about 6 months when stored properly.
330,Do you sell walnuts?,"Yes, we have fresh walnuts available in various pack sizes."
331,Are your pistachios organic?,"Yes, our pistachios are certified organic."
332,Do you offer bulk discounts on peanuts?,"Yes, we provide discounts for orders over 5kg of peanuts."
333,How should I store macadamia nuts?,"Keep them in an airtight container in a cool, dry place."
334,Do you deliver hazelnuts?,"Yes, we offer local delivery for hazelnuts orders."
